"àmbit","nivell de dades","pregunta","reposta","total","SEXE | Home","SEXE | Dona","EDAT | 16-24","EDAT | 25-34","EDAT | 35-44","EDAT | 45-54","EDAT | 55-64","EDAT | 65-74","NACIONALITAT | Espanyola","NACIONALITAT | Estrangera","NIVELL D'ESTUDIS | Baix","NIVELL D'ESTUDIS | Mitjà","NIVELL D'ESTUDIS | Alt","NIVELL D'ESTUDIS | NC","OCUPACIÓ | Ocupat","OCUPACIÓ | Aturat","OCUPACIÓ | Jubilat Pensionista","OCUPACIÓ | Tasques de la llar","OCUPACIÓ | Estudiant","OCUPACIÓ | NC","TIPOLOGIA D'ÚS | Hiper-connectat","TIPOLOGIA D'ÚS | Avançat",,,"TIPOLOGIA D'ÚS | Intermedi","TIPOLOGIA D'ÚS | Bàsic","TIPOLOGIA D'ÚS | Esporàdic","TIPOLOGIA D'ÚS | No connectat","GRANS BARRIS SEGONS RFD | RFD baixa (<60)","GRANS BARRIS SEGONS RFD | RFD mitjana-baixa (60-90)","GRANS BARRIS SEGONS RFD | RFD mitjana (90-110)","GRANS BARRIS SEGONS RFD | RFD mitjana-alta (110-140)","GRANS BARRIS SEGONS RFD | RFD alta (>140)","GRAN BARRI | Raval","GRAN BARRI | Gòtic","GRAN BARRI | Barceloneta","GRAN BARRI | Sant Pere, Santa Caterina i la Ribera","GRAN BARRI | Fort Pienc","GRAN BARRI | Sagrada Família","GRAN BARRI | Dreta Eixample","GRAN BARRI | Antiga Esquerra de l'Eixample","GRAN BARRI | Nova Esquerra de l'Eixample","GRAN BARRI | Sant Antoni","GRAN BARRI | Poble Sec","GRAN BARRI | La Marina","GRAN BARRI | Font de la Guatlla, Hostafrancs i Bordeta","GRAN BARRI | Sants i Sants-Badal","GRAN BARRI | Les Corts","GRAN BARRI | Maternitat i Sant Ramon","GRAN BARRI | Pedralbes","GRAN BARRI | Sarrià, Tres Torres i Vallvidrera","GRAN BARRI | Sant Gervasi-Bonanova i el Putxet","GRAN BARRI | Sant Gervasi-Galvany","GRAN BARRI | Vallcarca, el Coll i la Salut","GRAN BARRI | Vila de Gràcia","GRAN BARRI | Camp d'en Grassot i Gràcia Nova","GRAN BARRI | Guinardó","GRAN BARRI | Carmel i Can Baró","GRAN BARRI | Barris de la Vall d'Hebron","GRAN BARRI | Horta i la Font d'en Fargues","GRAN BARRI | Vilapicina,Porta, el Turó de la Peira i Can Peguera","GRAN BARRI | Guineueta, Verdun i Prosperitat","GRAN BARRI | Canyelles, Roquetes i Trinitat Nova","GRAN BARRI | Torre Baró, Ciutat Meridiana i Vallbona","GRAN BARRI | Trinitat Vella, Baró de Viver i Bon Pastor","GRAN BARRI | Sant Andreu","GRAN BARRI | Sagrera, Congrés i Navas","GRAN BARRI | Clot i Camp de l'Arpa","GRAN BARRI | Parc, Llacuna i Vila Olímpica","GRAN BARRI | Poblenou i Diagonal Mar","GRAN BARRI | Besòs, Maresme i Provençals","GRAN BARRI | Sant Martí, Verneda i la Pau","DISTRICTE | Ciutat Vella","DISTRICTE | Eixample","DISTRICTE | Sants-Montjuïc","DISTRICTE | Les Corts","DISTRICTE | Sarrià-Sant Gervasi","DISTRICTE | Gràcia","DISTRICTE | Horta-Guinardó","DISTRICTE | Nou Barris","DISTRICTE | Sant Andreu","DISTRICTE | Sant Martí"
"BARCELONA","p1","P1. ¿SU HOGAR ESTÁ CONECTADO A INTERNET?","Sí",83.7,82.8,84.6,94.7,86.9,85.6,86.4,81.4,66.4,85.6,75.6,62.7,86.9,94.2,52.8,88.8,76.6,67.6,78.8,95.1,66,100,98.5,,,94,74.6,63,26.1,75.7,81.2,82.9,90.2,93.9,73.4,72.7,70.3,75,82.8,78.7,93,92.9,86.9,86.7,74.2,73.4,87.5,75.2,96.1,88.3,91.4,92.2,96.1,94.5,86.7,89.1,85.2,88.4,78.1,75,91.4,79.1,76.6,70.3,61.7,79.7,80.6,88.4,86.8,92.2,82.8,82.8,77.5,73.2,86.7,77.7,93.2,94.4,87.3,84.2,75.1,83.9,83.7
"BARCELONA","p1","P1. ¿SU HOGAR ESTÁ CONECTADO A INTERNET?","No",16.3,17.2,15.4,5.3,13.1,14.4,13.6,18.5,33.6,14.4,24.4,37.3,13.1,5.8,47.2,11.2,23.4,32.4,20.9,4.9,34,0,1.5,,,6,25.4,37,73.8,24.1,18.8,17.1,9.8,6.1,26.6,27.3,29.7,25,17.2,21.3,7,7.1,13.1,13.3,25.8,26.6,12.5,24.8,3.9,11.7,8.6,7.8,3.9,5.5,13.3,10.9,14.8,11.6,21.9,25,8.6,20.9,23.4,28.9,38.3,20.3,19.4,11.6,13.2,7.8,17.2,17.2,22.5,26.8,13.3,22.3,6.8,5.6,12.7,15.8,24.7,16.1,16.3
"BARCELONA","p1","P1. ¿SU HOGAR ESTÁ CONECTADO A INTERNET?","No contesta",0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0.3,0,0,0,0,,,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"BARCELONA","p1","P1-A. ¿A TRAVÉS DE QUÉ TIPO DE CONEXIÓN?","ADSL / VDSL / SDSL",43.5,42.3,44.5,41.1,44.4,47.6,44.9,44,32.4,42.6,47.6,39.2,43.5,45.4,0,45.2,47.5,36,41.5,40.2,100,38,41,,,46.3,45.4,42.8,37.6,41.9,39.6,48.8,50,42,70.2,52.7,42.2,51,57.5,45,49.2,47.5,42.5,53.2,35.8,29.8,42.9,38.1,55.3,49.6,50.4,35.6,46.3,33.9,45,54.4,53.2,43.9,42,29.2,45.3,41.2,46.9,31.1,44.3,44.1,35.6,45.6,35.7,37.3,49.1,31.1,21,59.1,48.2,37.6,53,39.2,51.3,41.5,41.6,41.6,34.5
"BARCELONA","p1","P1-A. ¿A TRAVÉS DE QUÉ TIPO DE CONEXIÓN?","Fibra òptica",50.9,53.6,48.4,52.1,51.2,48.9,50.5,49.8,55.3,52.3,43.8,48.8,51.2,51.4,100,51.1,47.3,53.4,46.8,51.4,0,61.4,56,,,50.5,44,39.1,28.1,51.5,54.1,47.3,43.7,53.3,28.7,45.2,53.3,44.8,40.6,51,41.7,43.2,53.1,43.2,54.7,60.6,52.7,52.6,43.1,38.1,49.6,56.8,52,63.6,45.9,37.7,46.8,50,49,64.6,50.4,50,49,61.1,50.6,51,57.7,41.2,63.4,58.5,46.2,67.9,72,38.4,46.2,54.4,42.6,57.1,42.6,52.1,51.6,48.9,62.1
"BARCELONA","p1","P1-A. ¿A TRAVÉS DE QUÉ TIPO DE CONEXIÓN?","Híbrido de fibra y coaxial (HFC)",0.3,0.3,0.3,0.1,0.3,0.1,0.6,0.3,0.6,0.3,0.5,0.2,0.4,0.3,0,0.3,0,0.6,0.9,0,0,0,0.7,,,0.2,0.1,0,0.7,0.5,0.2,0.4,0.3,0.6,0,0,0,0,0.9,0,0.8,0,0.9,0,0,0,0.9,0,0,0,0,0,0,1.7,0.9,0,0,0,0,1,0,0,0,3.3,0,0,0,0,0,0.8,0.9,0.9,0,0,0.4,0.2,0,0.5,0.3,0.2,0.6,0,0.5
"BARCELONA","p1","P1-A. ¿A TRAVÉS DE QUÉ TIPO DE CONEXIÓN?","Otros sistemas",0.3,0.4,0.2,0,0.4,0.2,0.6,0.5,0,0.3,0.4,0,0.4,0.4,0,0.4,0.6,0.2,0,0,0,0.1,0.3,,,0.2,0.7,0,0,0.1,0.3,0.1,0.3,0.6,0,0,0,0,0,0,1.7,1.7,0,0.9,1.1,0,0.9,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0.9,0,0,0,1.3,0,0,1.8,0,0,0,0,0,0,0.7,0.5,0,0.3,0,0.2,0.1,0.8,0
"BARCELONA","p1","P1-A. ¿A TRAVÉS DE QUÉ TIPO DE CONEXIÓN?","No sabe",5.1,3.3,6.6,6.7,3.8,3.3,3.5,5.4,11.7,4.5,7.7,11.8,4.6,2.5,0,3,4.6,9.8,10.8,8.4,0,0.5,2,,,2.8,9.8,18,33.6,6,5.8,3.4,5.8,3.6,1.1,2.2,4.4,4.2,0.9,4,6.7,7.6,3.5,2.7,8.4,9.6,2.7,9.3,1.6,12.4,0,6.8,1.6,0.8,8.1,7.9,0,6.1,9,5.2,3.4,8.8,4.1,4.4,3.8,4.9,6.7,11.4,0.9,3.4,3.8,0,7,2.4,4.4,7.3,4.4,2.9,5.8,6,6.1,8.6,2.9
"BARCELONA","p1","P1-B. ¿POR QUÉ MOTIVO NO ESTÁ CONECTADO?","No llega la fibra ni ADSL / VDSL / ADSL // no llega internet",1.2,0.8,1.7,0,1.1,2.8,0.5,1.6,0.4,1.3,0.9,0.9,1.7,1.4,0,2,0.8,0.6,0.7,0,0,0,0,,,5,1.2,0.4,0.3,1.2,0.6,3.5,0,0,0,0,0,0,4.5,0,0,0,11.8,5.9,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,7.1,3.1,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,4.1,0,0,0,1.8,3.3,1.4,0,0
"BARCELONA","p1","P1-B. ¿POR QUÉ MOTIVO NO ESTÁ CONECTADO?","No nos podemos permitir la conexión",19.9,20.4,19.4,25,26.6,30.8,32.6,13.2,5,14.7,33.2,20.8,21.7,11.5,0,19.5,41.7,8.5,27,27.6,100,0,25.5,,,19.2,28.3,20.6,13.3,24,20.6,15.2,22,12.7,29.4,14.3,13.2,37.5,0,14.8,22.2,22.2,5.9,23.5,15.2,29.4,31.3,28.1,0,13.3,0,0,40,0,5.9,35.7,21.1,33.3,0,12.5,18.2,25.9,3.3,32.4,42.9,34.6,16,33.3,17.6,30,18.2,0,20.7,26.1,13.1,25.4,6.7,10.5,21.7,14.6,22.7,25.5,15.9
